name,points,division,age,won,lost,draw,stance,residence_city,residence_country,rank,stars,last6,last5,last4,last3,last2,last1
Shefat Isufi,2.782,light heavy,30,30,4,2,orthodox,Munich, Germany,1643,2,W,W,L,W,W,W
Mikkel LesPierre,2.781,super light,35,22,2,1,southpaw,Brooklyn, USA,1644,2,W,W,W,L,W,L
Charles Huerta,2.76,super feather,34,21,7,0,orthodox,Paramount, USA,1645,2,L,W,W,L,W,L
Marcelo Fabian Caceres,2.76,middle,25,18,4,0,orthodox,San Miguel, Argentina,1646,2,W,W,W,W,W,L
Flavius Biea,2.756,super welter,31,19,1,0,orthodox,Timisoara, Romania,1647,2,W,W,W,W,W,W
Shun Kubo,2.753,super feather,30,14,2,0,southpaw,Kobe, Japan,1648,2,W,W,L,W,L,W
Mziwoxolo Ndwayana,2.752,welter,NA,18,5,2,orthodox,Grahamstown, South Africa,1649,2,L,W,W,W,W,L
Sebastian Ezequiel Aguirre,2.75,super light,28,17,3,0,southpaw,Comodoro Rivadavia, Argentina,1650,2,L,L,W,W,W,W
Manyo Plange*,2.748,super fly,32,20,0,1,orthodox,Accra, Ghana,1651,2,W,W,D,W,W,W
Harlem Eubank,2.747,super light,26,11,0,0,orthodox,Brighton, United Kingdom,1652,2,W,W,W,W,W,W
Henry Lebron,2.747,super feather,23,13,0,0,southpaw,Aguadilla, Puerto Rico,1653,2,W,W,W,W,W,W
Leon Lawson III,2.745,super welter,21,13,0,0,NA,Flint, USA,1654,2,W,W,W,W,W,W
Petr Khamukov,2.743,middle,29,5,0,0,orthodox,Woodland Hills, USA,1655,2,Blank,W,W,W,W,W
Roberto Garcia*,2.742,middle,40,42,5,0,orthodox,Weslaco, USA,1656,2,W,W,W,L,W,L
Hiroyuki Takahara,2.74,feather,29,8,3,0,orthodox,Kobe, Japan,1657,2,L,L,W,W,W,W
Tommy Frank,2.737,fly,27,13,1,0,orthodox,Sheffield, United Kingdom,1658,2,W,W,W,W,W,L
John Vera,2.734,super welter,32,19,1,0,southpaw,Fort Worth, USA,1659,2,W,W,W,W,L,W
Sean Monaghan,2.734,light heavy,39,29,3,0,orthodox,Long Beach, USA,1660,2,W,W,L,W,L,L
Marcos Escudero,2.731,light heavy,27,10,2,0,orthodox,General Arenales, Argentina,1661,2,W,W,W,W,L,L
Michael Ansah,2.728,light,31,19,10,2,NA,Accra, Ghana,1662,2,L,W,W,W,L,W
Tonghui Li,2.725,super welter,30,12,2,0,orthodox,Hefei, China,1663,2,W,W,W,L,W,W
Aso Ishiwaki*,2.722,welter,21,8,2,1,orthodox,Neyagawa, Japan,1664,2,W,L,D,W,W,W
Mohamed Kani,2.722,welter,30,18,2,0,southpaw,Montpellier, France,1665,2,W,W,W,L,W,W
Jin Sasaki*,2.718,welter,19,9,0,0,orthodox,Hachioji, Japan,1666,2,W,W,W,W,W,W
William Encarnacion*,2.717,super bantam,32,18,1,0,orthodox,San Juan de la Maguana, Dominican Republic,1667,2,W,W,W,W,W,L
Sukhdeep Singh Bhatti,2.711,middle,28,8,0,0,NA,Ajax, Canada,1668,2,W,W,W,W,W,W
Chris Avalos,2.711,feather,31,27,8,0,orthodox,Lancaster, USA,1669,2,L,L,W,L,L,L
Ryoichi Tamura,2.707,feather,33,14,5,1,orthodox,NA,Japan,1670,2,W,W,L,L,W,W
Gregory Morales,2.705,super bantam,19,11,0,0,NA,Villa Unión, Mexico,1671,2,W,W,W,W,W,W
Jose Lopez,2.705,super feather,26,20,4,1,orthodox,Carolina, Puerto Rico,1672,2,W,W,L,W,L,L
Diego Pacheco,2.704,super middle,19,10,0,0,orthodox,Los Angeles, USA,1673,2,W,W,W,W,W,W
Salimu Jengo,2.703,light,25,15,3,0,orthodox,Tanga, Tanzania,1674,2,W,W,L,W,W,W
Mekhdi Abdurashedov,2.702,bantam,21,8,1,0,orthodox,Kurchaloi, Russia,1675,2,W,W,W,L,W,W
Fernando Fuentes,2.701,feather,26,14,8,1,orthodox,Hemet, USA,1676,2,W,W,D,W,W,L
Harry Simon*,2.7,super light,23,12,0,0,NA,Walvis Bay, Namibia,1677,2,W,W,W,W,W,W
Sebastian Perez,2.697,bantam,24,12,1,1,orthodox,San Sebastian, Spain,1678,2,W,D,W,W,W,L
Andrei Mikhailovich*,2.691,middle,22,13,0,0,orthodox,Auckland, New Zealand,1679,2,W,W,W,W,W,W
Samuel Clarkson,2.689,light heavy,30,22,6,1,southpaw,Cedar Hill, USA,1680,2,W,W,L,W,L,D
Patrick Cora,2.688,super welter,21,10,0,0,southpaw,San Juan, Puerto Rico,1681,2,W,W,W,W,W,W
Jong Seon Kang,2.682,feather,19,11,0,2,NA,Gwangju City, South Korea,1682,2,W,D,W,D,W,W
Fumiya Fuse,2.676,bantam,22,9,1,0,southpaw,NA,Japan,1683,2,W,W,W,W,L,W
Carlos Jorge Luis Sardinez,2.675,bantam,28,16,3,0,southpaw,San Juan, Argentina,1684,2,W,W,W,L,W,L
Federico Sebastian Pedraza,2.674,feather,24,12,0,1,southpaw,San Martín, Argentina,1685,2,W,W,W,W,W,W
Elias Damian Araujo,2.672,light,33,21,2,0,orthodox,Venado Tuerto, Argentina,1686,2,W,L,W,W,L,W
Silverio Ortiz,2.671,welter,37,37,26,0,orthodox,Merida, Mexico,1687,2,W,L,L,L,L,L
Junior Cuadrado,2.665,light,26,15,1,1,NA,Tijuana, Mexico,1688,2,W,D,W,W,W,L
Jack Massey,2.663,cruiser,27,17,1,0,orthodox,Chapel-en-le-Frith, United Kingdom,1689,2,W,W,W,W,L,W
James Kirkland*,2.662,middle,36,34,2,0,southpaw,San Antonio, USA,1690,2,W,W,W,L,W,W
Troy O'Meley,2.661,super welter,27,11,1,0,orthodox,NA,Australia,1691,2,W,W,W,W,W,L
Max Ornelas,2.661,bantam,22,13,0,1,orthodox,Las Vegas, USA,1692,2,D,W,W,W,W,W
Huseyin Cinkara,2.659,cruiser,35,14,0,0,NA,Schifferstadt, Germany,1693,2,W,W,W,W,W,W
Maidel Sando,2.655,super middle,31,10,0,0,orthodox,Nashville, USA,1694,2,W,W,W,W,W,W
